Planta,Puesto,Analisis
3,Toolmaker "III",Analisis
3,Toolmaker Sr,Analisis
3,Toolmaker "I",Analisis
4,Almacenista de Moldes,Analisis
4,Toolmaker "II",Analisis
4,Toolmaker "III",Analisis
4,Aprendiz Toolmaker,Analisis
4,Mecanico de Moldes,Analisis
4,Toolmaker "I",Analisis
4,Toolmaker Sr,Analisis
1,Asistente de Sup de Calidad IR,Analisis
1,Inspector de Calidad II (IR ensamble) - Nivel 1,Analisis
1,Inspector de Calidad II (IR ensamble) - Nivel 2,Analisis
1,Inspector de Calidad II (IR ensamble) - Nivel 3,Analisis
1,Inspector de Calidad II (IR ensamble) - Nivel 4,Analisis
1,Inspector de Calidad I (IR moldeo) - Nivel 1,Analisis
1,Inspector de Calidad I (IR moldeo) - Nivel 2,Analisis
1,Inspector de Calidad I (IR moldeo) - Nivel 3,Analisis
1,Inspector de Calidad I (IR moldeo) - Nivel 4,Analisis
1,Inspector de Calidad II (IR moldeo) - Nivel 1,Analisis
1,Inspector de Calidad II (IR moldeo) - Nivel 2,Analisis
1,Inspector de Calidad II (IR moldeo) - Nivel 3,Analisis
1,Inspector de Calidad II (IR moldeo) - Nivel 4,Analisis
1,Inspector de Calidad III (IR moldeo) - Nivel 1,Analisis
1,Inspector de Calidad III (IR moldeo) - Nivel 2,Analisis
1,Inspector de Calidad III (IR moldeo) - Nivel 3,Analisis
1,Inspector de Calidad III (IR moldeo) - Nivel 4,Analisis
1,Tecnico de Calidad  (IR),Analisis
1,Inspector de Calidad III (IR ensamble) - Nivel 1,Analisis
1,Inspector de Calidad III (IR ensamble) - Nivel 2,Analisis
1,Inspector de Calidad III (IR ensamble) - Nivel 3,Analisis
1,Inspector de Calidad III (IR ensamble) - Nivel 4,Analisis
1,Inspector de Calidad II (FX) - Nivel 1,Analisis
1,Inspector de Calidad II (FX) - Nivel 2,Analisis
1,Inspector de Calidad II (FX) - Nivel 3,Analisis
1,Inspector de Calidad II (FX) - Nivel 4,Analisis
1,Inspector de Calidad I (IR ensamble) - Nivel 1,Analisis
1,Inspector de Calidad I (IR ensamble) - Nivel 2,Analisis
1,Inspector de Calidad I (IR ensamble) - Nivel 3,Analisis
1,Inspector de Calidad I (IR ensamble) - Nivel 4,Analisis
1,Asistente de Sup de Calidad FX,Analisis
2,Inspector de Calidad II (HCM) - Nivel 1,Analisis
2,Inspector de Calidad II (HCM) - Nivel 2,Analisis
2,Inspector de Calidad II (HCM) - Nivel 3,Analisis
2,Inspector de Calidad II (HCM) - Nivel 4,Analisis
2,Tecnico de Calidad  (HCM),Analisis
2,Inspector de Calidad I (FX) - Nivel 1,Analisis
2,Inspector de Calidad I (FX) - Nivel 2,Analisis
2,Inspector de Calidad I (FX) - Nivel 3,Analisis
2,Inspector de Calidad I (FX) - Nivel 4,Analisis
2,Asistente de Sup de Calidad HC,Analisis
2,Asistente de Sup de Calidad IR,Analisis
2,Inspector de Calidad I (IR ensamble) - Nivel 1,Analisis
2,Inspector de Calidad I (IR ensamble) - Nivel 2,Analisis
2,Inspector de Calidad I (IR ensamble) - Nivel 3,Analisis
2,Inspector de Calidad I (IR ensamble) - Nivel 4,Analisis
2,Inspector de Calidad II (IR ensamble) - Nivel 1,Analisis
2,Inspector de Calidad II (IR ensamble) - Nivel 2,Analisis
2,Inspector de Calidad II (IR ensamble) - Nivel 3,Analisis
2,Inspector de Calidad II (IR ensamble) - Nivel 4,Analisis
2,Inspector de Calidad III (IR ensamble) - Nivel 1,Analisis
2,Inspector de Calidad III (IR ensamble) - Nivel 2,Analisis
2,Inspector de Calidad III (IR ensamble) - Nivel 3,Analisis
2,Inspector de Calidad III (IR ensamble) - Nivel 4,Analisis
2,Inspector de Calidad I (HCM) - Nivel 1,Analisis
2,Inspector de Calidad I (HCM) - Nivel 2,Analisis
2,Inspector de Calidad I (HCM) - Nivel 3,Analisis
2,Inspector de Calidad I (HCM) - Nivel 4,Analisis
2,Inspector de Calidad II (IR moldeo) - Nivel 1,Analisis
2,Inspector de Calidad II (IR moldeo) - Nivel 2,Analisis
2,Inspector de Calidad II (IR moldeo) - Nivel 3,Analisis
2,Inspector de Calidad II (IR moldeo) - Nivel 4,Analisis
2,Asistente de Sup de Calidad FX,Analisis
2,Inspector de Calidad II (FX) - Nivel 1,Analisis
2,Inspector de Calidad II (FX) - Nivel 2,Analisis
2,Inspector de Calidad II (FX) - Nivel 3,Analisis
2,Inspector de Calidad II (FX) - Nivel 4,Analisis
2,Inspector de Calidad III (FX) - Nivel 1,Analisis
2,Inspector de Calidad III (FX) - Nivel 2,Analisis
2,Inspector de Calidad III (FX) - Nivel 3,Analisis
2,Inspector de Calidad III (FX) - Nivel 4,Analisis
3,Inspector de Calidad II (DD) - Nivel 1,Analisis
3,Inspector de Calidad II (DD) - Nivel 2,Analisis
3,Inspector de Calidad II (DD) - Nivel 3,Analisis
3,Inspector de Calidad II (DD) - Nivel 4,Analisis
3,Inspector de Calidad III (DD) - Nivel 1,Analisis
3,Inspector de Calidad III (DD) - Nivel 2,Analisis
3,Inspector de Calidad III (DD) - Nivel 3,Analisis
3,Inspector de Calidad III (DD) - Nivel 4,Analisis
3,Tecnico de Calidad (DD),Analisis
3,Asistente de Sup de Calidad DD,Analisis
3,Inspector de Calidad I (DD) - Nivel 1,Analisis
3,Inspector de Calidad I (DD) - Nivel 2,Analisis
3,Inspector de Calidad I (DD) - Nivel 3,Analisis
3,Inspector de Calidad I (DD) - Nivel 4,Analisis
1,Supervisor de Moldeo Jr. (IR) - Nivel 1,Analisis
1,Supervisor de Moldeo Jr. (IR) - Nivel 2,Analisis
1,Supervisor de Moldeo Jr. (IR) - Nivel 3,Analisis
1,Supervisor de Moldeo Jr. (IR) - Nivel 4,Analisis
1,Limpiador de Moldes (IRR),Analisis
1,Asistente Ejecutivo,Analisis
1,Gerente Sr Automatizacion,Analisis
1,Ingeniero Sistemas Manufactura,Analisis
1,Ingeniero de Automatizacion Jr,Analisis
1,Asistente de control de doctos,Analisis
1,Gerente de Calidad (IRR),Analisis
1,Ingeniero Calidad Jr. (IR),Analisis
1,Ingeniero de Calidad III (IR),Analisis
1,Supervisor de Calidad II (IRR) - Nivel 1,Analisis
1,Supervisor de Calidad II (IRR) - Nivel 2,Analisis
1,Supervisor de Calidad II (IRR) - Nivel 3,Analisis
1,Supervisor de Calidad II (IRR) - Nivel 4,Analisis
1,Técnico de Calibración,Analisis
1,Agente de Compras I,Analisis
1,Coordinador de Compras MRO,Analisis
1,Analista Cumplimiento Aduanero,Analisis
1,Analista de Nomina,Analisis
1,Asist de Cumplimiento Aduanero,Analisis
1,Auxiliar Contable,Analisis
1,Auxiliar de Cuentas por Pagar,Analisis
1,Coord de Fiscal y Comercio Ext,Analisis
1,Gerente de Comercio Exterior,Analisis
1,Supervisor de Contabilidad - Nivel 1,Analisis
1,Supervisor de Contabilidad - Nivel 2,Analisis
1,Supervisor de Contabilidad - Nivel 3,Analisis
1,Supervisor de Contabilidad - Nivel 4,Analisis
1,Gerente de Ingenieria,Analisis
1,Gerente Manufactura IR,Analisis
1,Ing Mecanico de Manufactura III,Analisis
1,Ing. de Manufactura "I" (IR),Analisis
1,Ing. de Manufactura II (IR),Analisis
1,Ingeniero de Moldeo "I" (IR),Analisis
1,Ingeniero Jr. (IR),Analisis
1,Principal Supervisor de Moldeo - Nivel 1,Analisis
1,Principal Supervisor de Moldeo - Nivel 2,Analisis
1,Principal Supervisor de Moldeo - Nivel 3,Analisis
1,Principal Supervisor de Moldeo - Nivel 4,Analisis
1,Sup. de  Produccion "I"  (IR),Analisis
1,Supervisor de Ingenieria (IR) - Nivel 1,Analisis
1,Supervisor de Ingenieria (IR) - Nivel 2,Analisis
